Model,Finisaj,Tip_Rozeta,Pret_Maner,Pret_Rozeta,Total
INULA,MSC,PZ,221.88,65.01,286.89
INULA,MSC,WC,221.88,111.7,333.58
IRGA,BLACK,OB,178.23,65.01,243.24
IRGA,BLACK,PZ,178.23,65.01,243.24
IRGA,BLACK,WC,178.23,111.7,289.93
IRGA,CP,OB,178.23,65.01,243.24
IRGA,CP,PZ,178.23,65.01,243.24
IRGA,CP,WC,178.23,111.7,289.93
IRGA,GOLD PVD,OB,196.05,71.51,267.56
IRGA,GOLD PVD,PZ,196.05,71.51,267.56
IRGA,GOLD PVD,WC,196.05,122.85,318.9
IRGA,GOLD SATIN,OB,213.88,78.01,291.89
IRGA,GOLD SATIN,PZ,213.88,78.01,291.89
IRGA,GOLD SATIN,WC,213.88,128.44,342.32
IRGA,MSC,OB,178.23,65.01,243.24
IRGA,MSC,PZ,178.23,65.01,243.24
IRGA,MSC,WC,178.23,111.7,289.93
IRGA,WHITE,OB,196.05,71.51,267.56
IRGA,WHITE,PZ,196.05,71.51,267.56
IRGA,WHITE,WC,196.05,122.85,318.9
KALMIA,BLACK,OB,198.56,65.01,263.57
KALMIA,BLACK,PZ,198.56,65.01,263.57
KALMIA,BLACK,WC,198.56,111.7,310.26
KALMIA,BR,OB,208.49,65.01,273.5
KALMIA,BR,PZ,208.49,65.01,273.5
KALMIA,BR,WC,208.49,111.7,320.19
KALMIA,CP,OB,198.56,65.01,263.57
KALMIA,CP,PZ,198.56,65.01,263.57
KALMIA,CP,WC,198.56,111.7,310.26
KALMIA,GOLD PVD,OB,218.44,71.51,289.95
KALMIA,GOLD PVD,PZ,218.44,71.51,289.95
KALMIA,GOLD PVD,WC,218.44,122.85,341.29
KALMIA,GOLD SATIN,OB,238.29,78.01,316.3
KALMIA,GOLD SATIN,PZ,238.29,78.01,316.3
KALMIA,GOLD SATIN,WC,238.29,128.44,366.73
KALMIA,MSB,OB,208.49,65.01,273.5
KALMIA,MSB,PZ,208.49,65.01,273.5
KALMIA,MSB,WC,208.49,111.7,320.19
KALMIA,MSC,OB,198.56,65.01,263.57
KALMIA,MSC,PZ,198.56,65.01,263.57
KALMIA,MSC,WC,198.56,111.7,310.26
KALMIA,MSN,OB,208.49,65.01,273.5
KALMIA,MSN,PZ,208.49,65.01,273.5
KALMIA,MSN,WC,208.49,111.7,320.19
KALMIA,WHITE,OB,218.44,71.51,289.95
KALMIA,WHITE,PZ,218.44,71.51,289.95
KALMIA,WHITE,WC,218.44,122.85,341.29
KERRIA,BK,OB,771.96,65.85,837.81
KERRIA,BK,PZ,771.96,65.85,837.81
KERRIA,BK,WC,771.96,113.13,885.09
KERRIA,FB,OB,926.34,79.03,1005.37
KERRIA,FB,PZ,926.34,79.03,1005.37
KERRIA,FB,WC,926.34,129.59,1055.93
KERRIA,GYM,OB,926.34,79.03,1005.37
KERRIA,GYM,PZ,926.34,79.03,1005.37
KERRIA,GYM,WC,926.34,129.59,1055.93
KERRIA,KG,OB,926.34,79.03,1005.37
KERRIA,KG,PZ,926.34,79.03,1005.37
KERRIA,KG,WC,926.34,129.59,1055.93
LAVANDA,GYM,OB,380.51,79.03,459.54
LAVANDA,GYM,PZ,380.51,79.03,459.54
LAVANDA,GYM,WC,380.51,129.59,510.1
LAVANDA,KG,OB,380.51,79.03,459.54
LAVANDA,KG,PZ,380.51,79.03,459.54
LAVANDA,KG,WC,380.51,129.59,510.1
LAVANDA,SNM,OB,353.1,72.44,425.54
LAVANDA,SNM,PZ,353.1,72.44,425.54
LAVANDA,SNM,WC,353.1,124.46,477.56
LIRA,BK,OB,343.93,77.5,421.43
LIRA,BK,PZ,343.93,77.5,421.43
LIRA,BK,WC,343.93,118.84,462.77
LIRA,KG,OB,412.7,93.0,505.7
LIRA,KG,PZ,412.7,93.0,505.7
LIRA,KG,WC,412.7,136.11,548.81
LIRA,LC,OB,343.93,77.5,421.43
LIRA,LC,PZ,343.93,77.5,421.43
LIRA,LC,WC,343.93,118.84,462.77
LIRA,LG,OB,412.7,93.0,505.7
LIRA,LG,PZ,412.7,93.0,505.7
LIRA,LG,WC,412.7,136.11,548.81
LIRA,PN PVD,OB,412.7,93.0,505.7
LIRA,PN PVD,PZ,412.7,93.0,505.7
LIRA,PN PVD,WC,412.7,136.11,548.81
